None	1115
F3LN	9
TEXT	26160
SB22	4306
SB19A	521
F3A	1345
SD12	3230
SD10	25800
SD11	4
SA13A	1773
F3N	4180
SA13B	147
F3S	59
F3T	163
F3Z	32
SB28B	30
F3PS	4
SB28A	29098
F2A	67
SB20B	18
SB20C	793
SB20A	4040
F2S	123
SA14A	2
HDR	33221
F2N	50
SA19A	12
SC/12	9932
SC/10	12355
F1N	482
F1MN	56
SA11C	110833
SA11B	1695
F1A	685
SA11D	3741
F1S	1189
F3ZT	17
SC/9	157
SASL2	125
F24N	1475
SL	447
SA16	7678
F4N	12
SB30B	34875
H2	607
H3	2763
H1	734
H6	478
H4	108493
SA12	36595
SA20A	23941
F3PT	3
SBSL5	92
F3PN	85
F65	14344
F3PA	73
F3XT	126
F7N	6
SA17B	41
SA17A	613203
F93	15
SA17C	519
SB17	284147
F3XA	2771
SA17D	250
F94	15
F99	835
SB18	513
SB27B	18
SB27A	7
SC1/10	36
F9N	8
F76	163
F6N	3579
F3XN	16578
F6A	96
SB24B	2
SC2/10	152
SA18	413039
SA17	9210
F24A	108
SA15	8601
SA14	951
SA13	86
SF	260
SE	30504
SA11AI	6416482
SD9	471
F92	1
F9A	5
SASL1A	206
SA3L	6
H5	75
SB19B	98
SB21B	213759
F5A	27
F5N	394
SA21	407
F56	51
F57	12556
SB21A	49
SBSL4A	50
SBSL4B	1
SBSL4C	9
SBSL4D	14
F91	17
SB29	40106
F1MA	3
SB25	382
SB24	3
SB27	5
SB26	106
SB21	8045
SB23	2841852
SB28C	129
